category,category_title,full_name,url,description,stars,language,license,pushed_at,triage_score,source
marketing_growth_seo,"Marketing, Growth & SEO",umami-software/umami,https://github.com/umami-software/umami,"Umami is a modern, privacy-focused analytics platform. An open-source alternative to Google Analytics, Mixpanel and Amplitude.",36802,,,2026-05-22T23:59:48Z,90.4,anchor_html
marketing_growth_seo,"Marketing, Growth & SEO",PostHog/posthog,https://github.com/PostHog/posthog,"🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.",34657,,,2026-05-23T15:48:51Z,90.1,anchor_html
marketing_growth_seo,"Marketing, Growth & SEO",plausible/analytics,https://github.com/plausible/analytics,"Open source, privacy-first web analytics. Lightweight, cookie-free Google Analytics alternative. Self-hosted or cloud.",26424,,,2026-05-22T19:02:57Z,88.8,anchor_html
marketing_growth_seo,"Marketing, Growth & SEO",matomo-org/matomo,https://github.com/matomo-org/matomo,"Empowering People Ethically 🚀 — Matomo is hiring! Join us → https://matomo.org/jobs Matomo is the leading open-source alternative to Google Analytics, giving you complete control and built-in privacy. Easily collect, visualise, and analyse data from websites & apps. Star us on GitHub ⭐️  – Pull Requests welcome!",21534,,,2026-05-22T04:37:50Z,87.8,anchor_html
marketing_growth_seo,"Marketing, Growth & SEO",mautic/mautic,https://github.com/mautic/mautic,Mautic: Open Source Marketing Automation Software.,9726,,,2026-05-22T00:00:21Z,83.8,anchor_html
marketing_growth_seo,"Marketing, Growth & SEO",growthbook/growthbook,https://github.com/growthbook/growthbook,"Open Source Feature Flags, Experimentation, and Product Analytics",7802,,,2026-05-23T16:02:28Z,82.7,anchor_html
marketing_growth_seo,"Marketing, Growth & SEO",Countly/countly-server,https://github.com/Countly/countly-server,"Countly is a privacy-first, AI-powered analytics and engagement platform for understanding and optimizing customer journeys across digital applications, from desktop and mobile to IoT and connected environments.",5866,,,2026-05-22T19:01:22Z,81.3,anchor_html
marketing_growth_seo,"Marketing, Growth & SEO",Openpanel-dev/openpanel,https://github.com/Openpanel-dev/openpanel,"OpenPanel is an open-source web and product analytics platform, an open-source alternative to Mixpanel with optional self-hosting.",5800,,,2026-05-13T12:09:10Z,81.2,anchor_html
content_social_community,"Content, Social & Community",usememos/memos,https://github.com/usememos/memos,"Open-source, self-hosted note-taking tool built for quick capture. Markdown-native, lightweight, and fully yours.",60015,,,2026-05-16T13:18:46Z,92.9,anchor_html
content_social_community,"Content, Social & Community",TryGhost/Ghost,https://github.com/TryGhost/Ghost,"Independent technology for modern publishing, memberships, subscriptions and newsletters.",53641,,,2026-05-23T15:29:29Z,92.3,anchor_html
content_social_community,"Content, Social & Community",mastodon/mastodon,https://github.com/mastodon/mastodon,"Your self-hosted, globally interconnected microblogging community",49967,,,2026-05-23T11:07:18Z,92.0,anchor_html
content_social_community,"Content, Social & Community",discourse/discourse,https://github.com/discourse/discourse,"A platform for community discussion. Free, open, simple.",47082,,,2026-05-23T16:31:44Z,91.7,anchor_html
content_social_community,"Content, Social & Community",gitroomhq/postiz-app,https://github.com/gitroomhq/postiz-app,📨 The ultimate agentic social media scheduling tool 🤖,30632,,,2026-05-22T18:29:01Z,89.5,anchor_html
content_social_community,"Content, Social & Community",inovector/mixpost,https://github.com/inovector/mixpost,"📅 Schedule, 📢 publish, and ⚡ manage your social media content on your server. No subscriptions, no limits. (Buffer alternative)",3268,,,2026-03-16T10:06:21Z,69.6,anchor_html
content_social_community,"Content, Social & Community",trypostit/trypost,https://github.com/trypostit/trypost,Open-source Social Media Scheduling. Contribute to trypostit/trypost development by creating an account on GitHub.,132,,,2026-05-22T16:26:10Z,62.4,anchor_html
