category,title,full_name,url,description,stars,pushed_at,language,license,already_in_catalog,triage_score
agent_runtime_orchestration,Agent Runtime & Orchestration,langflow-ai/langflow,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,148690,2026-05-23T10:38:02Z,Python,MIT,False,97.5
agent_runtime_orchestration,Agent Runtime & Orchestration,langgenius/dify,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,142347,2026-05-23T15:25:39Z,TypeScript,NOASSERTION,False,97.3
agent_runtime_orchestration,Agent Runtime & Orchestration,langchain-ai/langchain,https://github.com/langchain-ai/langchain,The agent engineering platform.,137466,2026-05-23T08:42:49Z,Python,MIT,False,97.1
agent_runtime_orchestration,Agent Runtime & Orchestration,crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",52016,2026-05-23T04:33:41Z,Python,MIT,False,92.4
agent_runtime_orchestration,Agent Runtime & Orchestration,agno-agi/agno,https://github.com/agno-agi/agno,"Build, run, and manage agent platforms.",40310,2026-05-23T12:57:24Z,Python,Apache-2.0,False,91.2
agent_runtime_orchestration,Agent Runtime & Orchestration,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,Build resilient agents.,32760,2026-05-22T16:57:50Z,Python,MIT,False,90.2
agent_runtime_orchestration,Agent Runtime & Orchestration,microsoft/autogen,https://github.com/microsoft/autogen,A programming framework for agentic AI,58316,2026-04-15T11:59:09Z,Python,CC-BY-4.0,False,89.2
codex_claude_workflows,"Codex, Claude & Skill Workflows",anthropics/skills,https://github.com/anthropics/skills,Public repository for Agent Skills,139638,2026-05-19T14:11:10Z,Python,,False,97.2
codex_claude_workflows,"Codex, Claude & Skill Workflows",anthropics/claude-code,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",125950,2026-05-23T04:03:51Z,Shell,,False,96.7
codex_claude_workflows,"Codex, Claude & Skill Workflows",mattpocock/skills,https://github.com/mattpocock/skills,Skills for Real Engineers. Straight from my .claude directory.,102030,2026-05-20T08:46:54Z,Shell,MIT,False,95.7
codex_claude_workflows,"Codex, Claude & Skill Workflows",shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,from vibe coding to agentic engineering - practice makes claude perfect,54538,2026-05-23T11:16:44Z,HTML,MIT,False,92.7
codex_claude_workflows,"Codex, Claude & Skill Workflows",PatrickJS/awesome-cursorrules,https://github.com/PatrickJS/awesome-cursorrules,📄  Configuration files that enhance Cursor AI editor experience with custom rules and behaviors,39660,2026-05-20T09:50:01Z,JavaScript,CC0-1.0,False,91.1
codex_claude_workflows,"Codex, Claude & Skill Workflows",VoltAgent/awesome-agent-skills,https://github.com/VoltAgent/awesome-agent-skills,"A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor, and more.",22817,2026-05-10T14:33:57Z,,MIT,False,88.4
mcp_integrations,MCP & Tool Integrations,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,86124,2026-05-21T18:10:38Z,TypeScript,NOASSERTION,False,94.9
